datetime_UTC,num_dets (1800of1800),num_dets (300of1800),num_dets (60of360)
2022-06-15 00:30:00,0.0,0.0,0.0
2022-06-15 01:00:00,0.0,0.0,0.0
2022-06-15 01:30:00,0.0,0.0,0.0
2022-06-15 02:00:00,0.0,0.0,0.0
2022-06-15 02:30:00,0.0,0.0,0.0
2022-06-15 03:00:00,0.0,0.0,0.0
2022-06-15 03:30:00,1.0,1.0,0.0
2022-06-15 04:00:00,0.0,0.0,0.0
2022-06-15 04:30:00,1472.0,67.0,159.0
2022-06-15 05:00:00,382.0,40.0,38.0
2022-06-15 05:30:00,307.0,7.0,138.0
2022-06-15 06:00:00,181.0,49.0,61.0
2022-06-15 06:30:00,318.0,21.0,0.0
2022-06-15 07:00:00,68.0,33.0,14.0
2022-06-15 07:30:00,111.0,38.0,1.0
2022-06-15 08:00:00,89.0,30.0,6.0
2022-06-15 08:30:00,41.0,5.0,2.0
2022-06-15 09:00:00,4.0,0.0,4.0
2022-06-15 09:30:00,80.0,0.0,72.0
2022-06-15 10:00:00,28.0,12.0,12.0
2022-06-15 10:30:00,10.0,9.0,0.0
2022-06-15 11:00:00,197.0,14.0,1.0
2022-06-15 11:30:00,0.0,0.0,0.0
2022-06-15 12:00:00,0.0,0.0,0.0
2022-06-15 12:30:00,0.0,0.0,0.0
2022-06-15 13:00:00,2.0,1.0,1.0
2022-06-15 13:30:00,0.0,0.0,0.0
2022-06-15 14:00:00,4.0,0.0,0.0
2022-06-15 14:30:00,1.0,0.0,0.0
2022-06-15 15:00:00,3.0,0.0,0.0
2022-06-15 15:30:00,0.0,0.0,0.0
2022-06-16 00:00:00,1.0,0.0,0.0
2022-06-16 00:30:00,1.0,0.0,0.0
2022-06-16 01:00:00,1.0,0.0,0.0
2022-06-16 01:30:00,0.0,0.0,0.0
2022-06-16 02:00:00,0.0,0.0,0.0
2022-06-16 02:30:00,0.0,0.0,0.0
2022-06-16 03:00:00,5.0,0.0,0.0
2022-06-16 03:30:00,1.0,0.0,0.0
2022-06-16 04:00:00,100.0,0.0,0.0
2022-06-16 04:30:00,5165.0,659.0,924.0
2022-06-16 05:00:00,1789.0,185.0,294.0
2022-06-16 05:30:00,1911.0,687.0,390.0
2022-06-16 06:00:00,261.0,15.0,55.0
2022-06-16 06:30:00,165.0,64.0,31.0
2022-06-16 07:00:00,182.0,1.0,21.0
